No.,Time,Source,Destination,Protocol,Length,Info
1,0,fe80::201:1:1:1,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
2,1.81,00:01:00:01:00:01:00:01,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: EquipTra_01:00:01:00:01"
3,5.78,00:01:00:01:00:01:00:01,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: EquipTra_01:00:01:00:01"
4,6.51,fe80::201:1:1:1,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
5,7.19,fe80::204:4:4:4,fe80::201:1:1:1,ICMPv6,102,RPL Control (DODAG Information Object)
6,7.194296,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
7,8.55,fe80::205:5:5:5,fe80::201:1:1:1,ICMPv6,102,RPL Control (DODAG Information Object)
8,8.554296,,00:05:00:05:00:05:00:05,IEEE 802.15.4,19,"Ack, Dst: Cisco_05:00:05:00:05"
9,9.92,fe80::205:5:5:5,ff02::1a,ICMPv6,26,RPL Control (DODAG Information Solicitation)
10,10.08,fe80::205:5:5:5,fe80::201:1:1:1,ICMPv6,102,RPL Control (DODAG Information Object)
11,10.084296,,00:05:00:05:00:05:00:05,IEEE 802.15.4,19,"Ack, Dst: Cisco_05:00:05:00:05"
12,10.25,fe80::204:4:4:4,fe80::201:1:1:1,ICMPv6,102,RPL Control (DODAG Information Object)
13,10.254296,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
14,11.1,fe80::205:5:5:5,fe80::201:1:1:1,ICMPv6,102,RPL Control (DODAG Information Object)
15,11.104296,,00:05:00:05:00:05:00:05,IEEE 802.15.4,19,"Ack, Dst: Cisco_05:00:05:00:05"
16,11.27,fe80::205:5:5:5,fe80::201:1:1:1,ICMPv6,102,RPL Control (DODAG Information Object)
17,11.274296,,00:05:00:05:00:05:00:05,IEEE 802.15.4,19,"Ack, Dst: Cisco_05:00:05:00:05"
18,12.12,fe80::204:4:4:4,fe80::201:1:1:1,ICMPv6,102,RPL Control (DODAG Information Object)
19,12.124296,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
